Fetching NYC station list...
Found 99 stations in the NYC bounding box.
[1/99] Pulling precipitation for GHCND:US1NJBG0002 (SADDLE BROOK TWP 0.6 E, NJ US)...
[2/99] Pulling precipitation for GHCND:US1NJBG0003 (TENAFLY 1.3 W, NJ US)...
[3/99] Pulling precipitation for GHCND:US1NJBG0008 (SADDLE BROOK TWP 0.3 NNE, NJ US)...
[4/99] Pulling precipitation for GHCND:US1NJBG0011 (NORTH ARLINGTON 0.7 NE, NJ US)...
[5/99] Pulling precipitation for GHCND:US1NJBG0012 (WOOD RIDGE 0.6 SE, NJ US)...
[6/99] Pulling precipitation for GHCND:US1NJBG0013 (RUTHERFORD 1.2 N, NJ US)...
[7/99] Pulling precipitation for GHCND:US1NJBG0015 (NORTH ARLINGTON 0.7 WNW, NJ US)...
[8/99] Pulling precipitation for GHCND:US1NJBG0018 (PALISADES PARK 0.2 WNW, NJ US)...
[9/99] Pulling precipitation for GHCND:US1NJBG0033 (WOOD RIDGE 0.6 NNW, NJ US)...
[10/99] Pulling precipitation for GHCND:US1NJBG0043 (MAYWOOD 0.2 SW, NJ US)...
[11/99] Pulling precipitation for GHCND:US1NJBG0064 (WOOD RIDGE 0.2 N, NJ US)...
[12/99] Pulling precipitation for GHCND:US1NJBG0065 (LYNDHURST TWP 1.6 NW, NJ US)...
[13/99] Pulling precipitation for GHCND:US1NJBG0072 (RIVER EDGE 0.7 SSW, NJ US)...
[14/99] Pulling precipitation for GHCND:US1NJES0004 (NORTH CALDWELL 0.6 SSE, NJ US)...
[15/99] Pulling precipitation for GHCND:US1NJES0010 (VERONA TWP 0.7 SW, NJ US)...
[16/99] Pulling precipitation for GHCND:US1NJES0011 (CEDAR GROVE TWP 0.9 NE, NJ US)...
[17/99] Pulling precipitation for GHCND:US1NJES0015 (MONTCLAIR 2.2 NNE, NJ US)...
[18/99] Pulling precipitation for GHCND:US1NJES0018 (MAPLEWOOD TWP 0.9 SE, NJ US)...
[19/99] Pulling precipitation for GHCND:US1NJES0020 (BLOOMFIELD 1.7 S, NJ US)...
[20/99] Pulling precipitation for GHCND:US1NJES0021 (VERONA TWP 0.6 WSW, NJ US)...
[21/99] Pulling precipitation for GHCND:US1NJES0024 (CEDAR GROVE TWP 0.4 W, NJ US)...
[22/99] Pulling precipitation for GHCND:US1NJES0029 (MONTCLAIR 0.9 WSW, NJ US)...
[23/99] Pulling precipitation for GHCND:US1NJES0031 (MONTCLAIR 0.7 N, NJ US)...
[24/99] Pulling precipitation for GHCND:US1NJES0033 (MONTCLAIR 0.7 NNE, NJ US)...
[25/99] Pulling precipitation for GHCND:US1NJES0040 (VERONA TWP 0.8 W, NJ US)...
[26/99] Pulling precipitation for GHCND:US1NJES0052 (MAPLEWOOD TWP 1.0 ESE, NJ US)...
[27/99] Pulling precipitation for GHCND:US1NJHD0002 (KEARNY 1.7 NW, NJ US)...
[28/99] Pulling precipitation for GHCND:US1NJHD0016 (SECAUCUS 0.8 NNE, NJ US)...
[29/99] Pulling precipitation for GHCND:US1NJHD0017 (SECAUCUS 1.2 NNE, NJ US)...
[30/99] Pulling precipitation for GHCND:US1NJHD0018 (KEARNY 1.7 NNW, NJ US)...
[31/99] Pulling precipitation for GHCND:US1NJHD0023 (JERSEY CITY 1.6 NNE, NJ US)...
[32/99] Pulling precipitation for GHCND:US1NJMD0073 (CARTERET 0.6 WSW, NJ US)...
[33/99] Pulling precipitation for GHCND:US1NJPS0003 (LITTLE FALLS TWP 0.2 NNW, NJ US)...
[34/99] Pulling precipitation for GHCND:US1NJPS0012 (LITTLE FALLS TWP 0.5 WNW, NJ US)...
[35/99] Pulling precipitation for GHCND:US1NJPS0017 (WOODLAND PARK 0.1 NW, NJ US)...
[36/99] Pulling precipitation for GHCND:US1NJPS0018 (PATERSON 2.0 W, NJ US)...
[37/99] Pulling precipitation for GHCND:US1NJPS0028 (LITTLE FALLS TWP 0.2 NE, NJ US)...
[38/99] Pulling precipitation for GHCND:US1NJUN0020 (ROSELLE PARK 0.5 ENE, NJ US)...
[39/99] Pulling precipitation for GHCND:US1NYBX0025 (BRONX 1.5 NE, NY US)...
[40/99] Pulling precipitation for GHCND:US1NYKN0003 (BROOKLYN 2.4 SW, NY US)...
[41/99] Pulling precipitation for GHCND:US1NYKN0025 (BROOKLYN 3.1 NW, NY US)...
[42/99] Pulling precipitation for GHCND:US1NYKN0059 (BROOKLYN 2.4 WSW, NY US)...
[43/99] Pulling precipitation for GHCND:US1NYNS0007 (FLORAL PARK 0.4 W, NY US)...
[44/99] Pulling precipitation for GHCND:US1NYNS0022 (FLORAL PARK 0.7 ESE, NY US)...
[45/99] Pulling precipitation for GHCND:US1NYNS0027 (PORT WASHINGTON 0.8 N, NY US)...
[46/99] Pulling precipitation for GHCND:US1NYNS0035 (VALLEY STREAM 0.6 SE, NY US)...
[47/99] Pulling precipitation for GHCND:US1NYNY0074 (NEW YORK 8.8 N, NY US)...
[48/99] Pulling precipitation for GHCND:US1NYNY0078 (STUYVESANT SQUARE PARK NEW YORK 4.9 NNW, NY US)...
[49/99] Pulling precipitation for GHCND:US1NYNY0082 (MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US)...
[50/99] Pulling precipitation for GHCND:US1NYQN0002 (MIDDLE VILLAGE 0.5 SW, NY US)...
[51/99] Pulling precipitation for GHCND:US1NYQN0026 (JACKSON HEIGHTS 0.3 WSW, NY US)...
[52/99] Pulling precipitation for GHCND:US1NYQN0027 (QUEENS 3.4 NNW, NY US)...
[53/99] Pulling precipitation for GHCND:US1NYQN0029 (QUEENS 2.1 NE, NY US)...
[54/99] Pulling precipitation for GHCND:US1NYQN0033 (HOWARD BEACH 0.4 NNW, NY US)...
[55/99] Pulling precipitation for GHCND:US1NYQN0036 (QUEENS 4.7 SW, NY US)...
[56/99] Pulling precipitation for GHCND:US1NYQN0037 (QUEENS 3.7 N, NY US)...
[57/99] Pulling precipitation for GHCND:US1NYQN0039 (LITTLE NECK 0.3 SE, NY US)...
[58/99] Pulling precipitation for GHCND:US1NYRC0001 (STATEN ISLAND 4.5 SSE, NY US)...
[59/99] Pulling precipitation for GHCND:US1NYRC0002 (STATEN ISLAND 1.4 SE, NY US)...
[60/99] Pulling precipitation for GHCND:US1NYRC0016 (STATEN ISLAND 2.6 N, NY US)...
[61/99] Pulling precipitation for GHCND:US1NYWC0009 (NEW ROCHELLE 1.3 S, NY US)...
[62/99] Pulling precipitation for GHCND:USC00281472 (CEDAR GROVE, NJ US)...
[63/99] Pulling precipitation for GHCND:USC00282644 (ELIZABETH, NJ US)...
[64/99] Pulling precipitation for GHCND:USC00282652 (ELIZABETHPORT, NJ US)...
[65/99] Pulling precipitation for GHCND:USC00283704 (HARRISON, NJ US)...
[66/99] Pulling precipitation for GHCND:USC00284260 (IRVINGTON, NJ US)...
[67/99] Pulling precipitation for GHCND:USC00284339 (JERSEY CITY, NJ US)...
[68/99] Pulling precipitation for GHCND:USC00284887 (LITTLE FALLS, NJ US)...
[69/99] Pulling precipitation for GHCND:USC00284931 (LODI, NJ US)...
[70/99] Pulling precipitation for GHCND:USC00286560 (ORANGE, NJ US)...
[71/99] Pulling precipitation for GHCND:USC00286775 (PATERSON, NJ US)...
[72/99] Pulling precipitation for GHCND:USC00287393 (RAHWAY, NJ US)...
[73/99] Pulling precipitation for GHCND:USC00287545 (RIDGEFIELD, NJ US)...
[74/99] Pulling precipitation for GHCND:USC00287833 (RUTHERFORD, NJ US)...
[75/99] Pulling precipitation for GHCND:USC00288884 (TETERBORO AIRPORT, NJ US)...
[76/99] Pulling precipitation for GHCND:USC00289317 (WAYNE, NJ US)...
[77/99] Pulling precipitation for GHCND:USC00300621 (NEW YORK BENSONHURST, NY US)...
[78/99] Pulling precipitation for GHCND:USC00300958 (BROOKLYN 1, NY US)...
[79/99] Pulling precipitation for GHCND:USC00300961 (BRONX, NY US)...
[80/99] Pulling precipitation for GHCND:USC00302001 (DAVIDS ISLAND, NY US)...
[81/99] Pulling precipitation for GHCND:USC00302868 (FLUSHING, NY US)...
[82/99] Pulling precipitation for GHCND:USC00302964 (FORT SCHUYLER)...
[83/99] Pulling precipitation for GHCND:USC00304632 (NEW YORK LAUREL HILL, NY US)...
[84/99] Pulling precipitation for GHCND:USC00305618 (MOUNT VERNON, NY US)...
[85/99] Pulling precipitation for GHCND:USC00305796 (NEW YORK, NY US)...
[86/99] Pulling precipitation for GHCND:USC00305798 (NEW YORK BENSONHURST, NY US)...
[87/99] Pulling precipitation for GHCND:USC00305799 (NEW YORK BOTANICAL GARDEN, NY US)...
[88/99] Pulling precipitation for GHCND:USC00305804 (NEW YORK LAUREL HILL, NY US)...
[89/99] Pulling precipitation for GHCND:USC00305806 (NEW YORK UNIVERSITY ST, NY US)...
[90/99] Pulling precipitation for GHCND:USC00305816 (WORLD TRADE CENTER, NY US)...
[91/99] Pulling precipitation for GHCND:USC00305821 (NEW YORK WESTERLEIGH, NY US)...
[92/99] Pulling precipitation for GHCND:USC00309466 (WILLETS POINT)...
[93/99] Pulling precipitation for GHCND:USC00309580 (WORLD TRADE CENTER, NY US)...
[94/99] Pulling precipitation for GHCND:USW00014732 (LAGUARDIA AIRPORT, NY US)...
[95/99] Pulling precipitation for GHCND:USW00014734 (NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US)...
[96/99] Pulling precipitation for GHCND:USW00014786 (NEW YORK FLOYD BENNETT FIELD, NY US)...
[97/99] Pulling precipitation for GHCND:USW00094728 (NY CITY CENTRAL PARK, NY US)...
[98/99] Pulling precipitation for GHCND:USW00094741 (TETERBORO AIRPORT, NJ US)...
[99/99] Pulling precipitation for GHCND:USW00094789 (JFK INTERNATIONAL AIRPORT, NY US)...
Fetched and cached 12890 rows across 99 stations (2025-01-01 to 2026-07-02)
